"","maxgroup","value.IV","mean","sd","p"
"otu.667","3",35.5,"40.7","7.43",0.7363
"otu.668","2",14.9,"21.1","8.7",0.6917
"otu.669","3",35.8,"36.8","7.9",0.4787
"otu.670","2",16,"16.4","7.95",0.4359
"otu.671","3",14.2,"20.3","8.3",0.7728
"otu.672","3",38.2,"32.7","8.86",0.2378
"otu.674","2",19.5,"14.3","7.39",0.2058
"otu.675","3",15.4,"10.1","6.07",0.3279
"otu.676","2",54.2,"37.8","8.66",0.0512
"otu.677","3",5.9,"11.1","5.23",1
"otu.678","2",63,"30.6","10.17",0.005
"otu.679","1",8.8,"20.8","8.84",0.992
"otu.680","1",28.1,"27","9.15",0.3699
"otu.681","3",7.7,"9.4","1.46",1
"otu.683","2",22.2,"11.8","4.84",0.0714
"otu.685","2",17.2,"15.3","7.45",0.4231
"otu.687","1",36.8,"48.1","10.59",0.859
"otu.688","3",11.4,"14.5","7.54",0.6039
"otu.689","1",31.9,"32.3","7.99",0.4307
"otu.690","1",10,"9.4","1.47",0.5865
"otu.691","2",53.4,"26.5","9.52",0.0134
"otu.692","3",15.4,"12.3","4.55",0.3223
"otu.693","1",9.8,"12.3","4.68",0.7546
"otu.696","2",27.8,"27.4","10.26",0.4199
"otu.697","3",31.6,"28.3","10.59",0.3201
"otu.698","2",19.1,"31.4","10.53",0.9108
"otu.699","2",40.3,"38.1","4.55",0.2859
"otu.700","3",7.7,"9.4","1.46",1
"otu.701","2",38.6,"32.3","7.36",0.1794
"otu.702","2",23.7,"30.8","10.35",0.7103
"otu.703","2",10.1,"11.5","5.11",0.4311
"otu.704","2",27,"22.5","9.38",0.3319
"otu.706","1",10,"9.4","1.46",0.5877
"otu.707","1",18.7,"25.9","9.07",0.7778
"otu.708","2",20.7,"30.7","8.51",0.9328
"otu.709","3",7.7,"9.4","1.47",1
"otu.711","2",59.2,"32.6","10.43",0.0144
"otu.712","2",11.1,"9.4","1.46",0.2783
"otu.713","3",6.9,"11.8","4.91",1
"otu.714","2",40,"39.9","6.31",0.4295
"otu.715","3",13.1,"35.8","11.37",0.9842
"otu.716","2",9.6,"16.5","7.63",0.7692
"otu.717","3",6.1,"11.2","5.25",0.8834
"otu.718","2",13.8,"14.2","7.33",0.3513
"otu.719","1",37.4,"39.5","4.07",0.6567
"otu.721","2",9.8,"11.1","5.15",0.4273
"otu.722","2",59.9,"38","6.47",0.004
"otu.724","3",14.9,"23.6","9.03",0.824
"otu.725","2",20.3,"16.6","7.51",0.2695
"otu.727","1",20.2,"23.3","8.9",0.5567
"otu.728","3",22.2,"16.7","7.44",0.1972
"otu.729","2",49.2,"25.6","8.93",0.02
"otu.730","2",19.4,"27.3","10.97",0.7447
"otu.731","3",15.8,"20.1","8.86",0.6849
"otu.733","2",59.8,"38.4","7.34",0.0106
"otu.734","2",9.8,"11.5","5.15",0.5281
"otu.735","2",38.7,"28","10.52",0.158
"otu.737","2",11.1,"9.4","1.46",0.2783
"otu.738","2",27.4,"43.9","11",0.9486
"otu.739","1",14,"30.2","10.77",0.9686
"otu.740","2",42.3,"18.8","8.33",0.0192
"otu.741","3",31.1,"43.6","10.45",0.91
"otu.742","2",43.1,"17.4","8.1",0.0122
"otu.743","2",10.2,"14.2","6.39",0.5897
"otu.744","3",7.7,"9.4","1.47",1
"otu.745","1",10,"9.4","1.46",0.5877
"otu.746","1",45.4,"41.2","7.76",0.2795
"otu.747","3",32.8,"25.7","9.86",0.2096
"otu.750","3",60.2,"36","6.64",0.0036
"otu.751","1",19.5,"18.6","8.3",0.3491
"otu.752","2",15.3,"16.9","7.65",0.4363
"otu.753","3",13.8,"43.9","11.75",0.9972
"otu.755","3",18.3,"25.2","9.62",0.7624
"otu.756","3",7.7,"9.4","1.47",1
"otu.757","2",13.7,"13.8","6.95",0.3739
"otu.758","3",15.4,"11.6","5.21",0.3301
"otu.760","3",52,"66.5","7.77",0.9686
"otu.761","3",7.7,"9.4","1.47",1
"otu.762","2",46.4,"40.4","9.9",0.2595
"otu.763","3",7.7,"9.4","1.46",1
"otu.764","2",54.2,"36.8","7.83",0.0314
"otu.765","1",6.8,"10.2","5.69",0.7431
"otu.766","1",62.4,"41.5","8.14",0.014
"otu.767","3",15.4,"9.9","5.94",0.3223
"otu.770","2",61.4,"28.9","9.9",0.005
"otu.771","3",22.7,"20.7","8.39",0.2841
"otu.772","3",7.7,"9.4","1.46",1
"otu.773","2",11.1,"9.4","1.46",0.2815
"otu.775","3",50.1,"35.1","9.6",0.0822
"otu.777","1",9.6,"15.6","7.59",0.795
"otu.778","3",19,"19.2","8.22",0.5269
"otu.779","2",11.1,"12.3","4.57",0.5287
"otu.781","2",33.6,"32.5","9.71",0.3707
"otu.782","2",11.1,"9.4","1.46",0.2783
"otu.783","2",38,"41.7","10.81",0.5733
"otu.784","2",54.8,"51.2","10.21",0.3559
"otu.785","2",60.7,"41.4","6.46",0.0074
"otu.786","1",61.3,"40.8","9.64",0.0316
"otu.787","3",23.1,"12.5","6.76",0.0978
"otu.788","2",10.9,"15","6.2",0.6297
"otu.789","3",20.2,"22.5","9.2",0.5145
"otu.791","3",15.4,"9.9","5.97",0.3195
"otu.792","3",24,"17.4","7.81",0.1792
"otu.793","3",15,"31.3","11.18",0.9676
"otu.794","2",11.1,"9.4","1.46",0.2783
"otu.796","3",38.5,"16.6","7.96",0.0242
"otu.798","3",7.7,"9.4","1.47",1
"otu.799","2",37.7,"39.7","7.73",0.5437
"otu.800","3",46,"32.2","7.9",0.0628
"otu.801","3",25.5,"22.9","9.31",0.3385
"otu.802","2",34.2,"19.9","8.82",0.0784
"otu.805","3",7.7,"9.4","1.47",1
"otu.806","2",22.2,"12.3","4.61",0.0724
"otu.808","3",15.3,"14.2","7.28",0.4111
"otu.809","3",7.7,"9.4","1.46",1
"otu.812","2",17,"16.3","7.3",0.3977
"otu.816","2",23.9,"30.1","8.84",0.7291
"otu.817","3",49.2,"41.3","11.58",0.2527
"otu.818","2",11.1,"9.4","1.46",0.2827
"otu.820","3",12.6,"17.8","8.11",0.6845
"otu.822","1",47.9,"40","7.05",0.136
"otu.824","2",14.8,"19.9","8.8",0.6391
"otu.826","1",10,"9.4","1.46",0.5915
"otu.830","2",49.6,"27.7","10.84",0.0494
"otu.831","2",10,"16.9","7.34",0.7604
"otu.832","3",6.7,"16.9","7.3",0.9736
"otu.833","3",29.1,"29.8","10.19",0.4645
"otu.834","2",31.5,"20.1","8.39",0.0814
"otu.835","3",46.2,"19.3","8.56",0.0072
"otu.836","3",30.8,"13.9","6.88",0.035
